Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year,,,,,,,
109,"Terentev, V Dolzhenko, A Fedotov, D Eremenko",Current State of Hyperspectral Remote Sensing for Early Plant Disease Detection: A Review,13,2022, mdpi.com, Sensors,https://www.mdpi.com/1424-8220/22/3/757,13,,,,,,,
107,Rasouli,Deep learning for vision-based prediction: A survey,40,2020, arxiv.org, arXiv preprint arXiv:2007.00095,https://arxiv.org/abs/2007.00095,13,,,,,,,
336,"Biggs, B Guedj",On margins and derandomisation in PAC-Bayes,12,2022, proceedings.mlr.press, International Conference on Artificial …,https://proceedings.mlr.press/v151/biggs22a.html,12,,,,,,,
215,"Xiao, B Liu, L Geng, F Zhang, Y Liu",Segmentation of lung nodules using improved 3D-UNet neural network,35,2020, mdpi.com, Symmetry,https://www.mdpi.com/872680,12,,,,,,,
351, Muscolino,Could not catch title,112,2014, Cambridge University Press,,"Look manually at: https://scholar.google.com/scholar?start=350&q=(gan+OR+adversarial+OR+(generative+and+adversarial+and+net*))+AND+magnetohydrodynamics&hl=en&as_sdt=0,5",12,,,,,,,
384,"Liu, Q Shao",Two-dimensional materials for energy-efficient spin–orbit torque devices,36,2020, ACS Publications, ACS nano,https://pubs.acs.org/doi/abs/10.1021/acsnano.0c04403,12,,,,,,,
200,Villaescus,The CAMELS Multifield Data Set: Learning the Universe's Fundamental Parameters with Artificial Intelligence,11,2022, iopscience.iop.org, The Astrophysical …,https://iopscience.iop.org/article/10.3847/1538-4365/ac5ab0/meta,11,,,,,,,
32," Sarhan, N Navab, A Eslami…",Fairness by learning orthogonal disentangled representations,32,2020, Springer, European Conference on …,https://link.springer.com/chapter/10.1007/978-3-030-58526-6_44,11,,,,,,,
82,"Seetharam, S Shrestha, PP Sengupta",Artificial intelligence in cardiovascular medicine,45,2019, Springer, Current treatment options in …,https://link.springer.com/article/10.1007/s11936-019-0728-1,11,,,,,,,
75,"Dai, U Seljak",Learning effective physical laws for generating cosmological hydrodynamics with Lagrangian deep learning,22,2021, National Acad Sciences, Proceedings of the National Academy of …,https://www.pnas.org/doi/abs/10.1073/pnas.2020324118,11,,,,,,,
157," Battleday, JC Peterson, TL Griffiths",Capturing human categorization of natural images by combining deep networks and cognitive models,32,2020, nature.com, Nature communications,https://www.nature.com/articles/s41467-020-18946-z,11,,,,,,,
56,"Cai, W Zuo, LS Davis…",Weakly-supervised video summarization using variational encoder-decoder and web prior,57,2018, openaccess.thecvf.com, Proceedings of the …,http://openaccess.thecvf.com/content_ECCV_2018/html/Sijia_Cai_Weakly-supervised_Video_Summarization_ECCV_2018_paper.html,11,,,,,,,
145,"Douarre, R Schielein, C Frindel, S Gerth…",Transfer learning from synthetic data applied to soil–root segmentation in x-ray tomography images,50,2018, mdpi.com, Journal of …,https://www.mdpi.com/289626,10,,,,,,,
335,"Cowan, AK Paswan, E Van Steenburg",When inter-firm relationship benefits mitigate power asymmetry,84,2015, Elsevier, Industrial Marketing …,https://www.sciencedirect.com/science/article/pii/S0019850115000929,10,,,,,,,
61,"Ilyas, I Ahmad, MAZ Raja, MB Tahir…",Intelligent networks for crosswise stream nanofluidic model with Cu–H2O over porous stretching medium,19,2021, Elsevier, International Journal of …,https://www.sciencedirect.com/science/article/pii/S0360319921006364,10,,,,,,,
60,"Zhang, W Song, M Fu, Y Yang…",Vehicle motion prediction at intersections based on the turning intention and prior trajectories model,20,2021, ieeexplore.ieee.org, IEEE/CAA Journal of …,https://ieeexplore.ieee.org/abstract/document/9416981/,10,,,,,,,
100,"Senanayake, H Kalutarage, MO A",Android mobile malware detection using machine learning: A systematic review,20,2021, mdpi.com, Electronics,https://www.mdpi.com/1177392,10,,,,,,,
268,"Bernal, K Kushibar, M Cabezas, S Valverde…",Quantitative analysis of patch-based fully convolutional neural networks for tissue segmentation on brain magnetic resonance imaging,37,2019, ieeexplore.ieee.org, IEEE …,https://ieeexplore.ieee.org/abstract/document/8754679/,9,,,,,,,
71,"Aloufi, H Haddadi, D Boyle",Privacy-preserving voice analysis via disentangled representations,28,2020, dl.acm.org, Proceedings of the 2020 ACM SIGSAC …,https://dl.acm.org/doi/abs/10.1145/3411495.3421355,9,,,,,,,
456,Weber,Künstliche Intelligenz für Business Analytics,28,2020, Springer,,https://link.springer.com/content/pdf/10.1007/978-3-658-29773-2.pdf,9,,,,,,,
264," Timmins, IC van der Schaaf, E Bennink…",Comparing methods of detecting and segmenting unruptured intracranial aneurysms on TOF-MRAS: The ADAM challenge,16,2021, Elsevier, Neuroimage,https://www.sciencedirect.com/science/article/pii/S1053811921004936,8,,,,,,,
76,"Michael, H Ma, H Li, F Kulwa, J Li",Breast cancer segmentation methods: current status and future potentials,16,2021, hindawi.com, BioMed Research International,https://www.hindawi.com/journals/bmri/2021/9962109/,8,,,,,,,
110,"Li, C Xu",Discover the Unknown Biased Attribute of an Image Classifier,15,2021, openaccess.thecvf.com, Proceedings of the IEEE/CVF International …,http://openaccess.thecvf.com/content/ICCV2021/html/Li_Discover_the_Unknown_Biased_Attribute_of_an_Image_Classifier_ICCV_2021_paper.html,8,,,,,,,
10,"Liu, W Liu, H Ma, Z Jiang…",Ktan: knowledge transfer adversarial network,24,2020, ieeexplore.ieee.org, 2020 International Joint …,https://ieeexplore.ieee.org/abstract/document/9207235/,8,,,,,,,
182,"Li, W Liu, H Ma",Attentive spatial–temporal summary networks for feature learning in irregular gait recognition,32,2019, ieeexplore.ieee.org, IEEE Transactions on Multimedia,https://ieeexplore.ieee.org/abstract/document/8643814/,8,,,,,,,
48,"Gu, J Chi, J Liu, L Yang, B Zhang, D Yu…",A survey of computer-aided diagnosis of lung nodules from CT scans using deep learning,17,2021, Elsevier, Computers in biology …,https://www.sciencedirect.com/science/article/pii/S0010482521006004,8,,,,,,,
79," Sighencea, RI Stanciu, CD Căleanu",A review of deep learning-based methods for pedestrian trajectory prediction,14,2021, mdpi.com, Sensors,https://www.mdpi.com/1356618,7,,,,,,,
118,"Wang, J Wang",Application of artificial intelligence in computational fluid dynamics,14,2021, ACS Publications, Industrial & Engineering Chemistry Research,https://pubs.acs.org/doi/abs/10.1021/acs.iecr.0c05045,7,,,,,,,
341,"Guo, L Zhong, L Min, J Wang, Y Wu…",Adaptive optics based on machine learning: a review,7,2022, oejournal.org,Electronic …,https://www.oejournal.org/article/doi/10.29026/oea.2022.200082?utm_source=TrendMD&utm_medium=cpc&utm_campaign=Opto-Electronic_Advances_TrendMD_0,7,,,,,,,
40,"Liu, X Liu, H Ma, P Cheng",Beyond human-level license plate super-resolution with progressive vehicle search and domain priori GAN,44,2017, dl.acm.org, Proceedings of the 25th ACM international …,https://dl.acm.org/doi/abs/10.1145/3123266.3123422,7,,,,,,,
116,"Ni, Y Li, P Lachance, RAC Croft…","AI-assisted superresolution cosmological simulations–II. Halo substructures, velocities, and higher order statistics",14,2021, academic.oup.com, Monthly Notices of …,https://academic.oup.com/mnras/article-abstract/507/1/1021/6327562,7,,,,,,,
205,Qin,Machine learning and serving of discrete field theories,21,2020, nature.com, Scientific Reports,https://www.nature.com/articles/s41598-020-76301-0,7,,,,,,,
291,"Prisacari, G Rodriguez, P Heidelberger…",Efficient task placement and routing of nearest neighbor exchanges in dragonfly networks,60,2014, dl.acm.org, Proceedings of the 23rd …,https://dl.acm.org/doi/abs/10.1145/2600212.2600225,7,,,,,,,
155,"Gemp, B McWilliams, C Vernade…",Eigengame: Pca as a nash equilibrium,21,2020, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2010.00554,7,,,,,,,
280," Giri, F Sabath, R Hoad",High-power electromagnetic effects on electronic systems,21,2020, books.google.com,,https://books.google.com/books?hl=en&lr=&id=eaYCEAAAQBAJ&oi=fnd&pg=PR5&dq=(gan+OR+adversarial+OR+(generative+and+adversarial+and+net*))+AND+magnetohydrodynamics&ots=akK1nAIwiM&sig=_QExlA10ris_J7C1HFNsDWmXm2I,7,,,,,,,
101,"Sharifi, MA Bakhshali, T Dehghani…",Deep learning on ultrasound images of thyroid nodules,12,2021, Elsevier, Biocybernetics and …,https://www.sciencedirect.com/science/article/pii/S0208521621000152,6,,,,,,,
67," X Xie, S Saha, C Park, J Cao, WK Liu, Z Gan","Mechanistic artificial intelligence (mechanistic-AI) for modeling, design, and control of advanced manufacturing processes: Current state and perspectives",12,2021, Elsevier, Journal of Materials …,https://www.sciencedirect.com/science/article/pii/S0924013621004453,6,,,,,,,
290," Bandyk, DR Gopireddy, C Lall, KC Balaji…",MRI and CT bladder segmentation from classical to deep learning based approaches: Current limitations and lessons,12,2021, Elsevier, Computers in Biology …,https://www.sciencedirect.com/science/article/pii/S0010482521002663,6,,,,,,,
132,"Mastouri, N Khlifa, H Neji…",Deep learning-based CAD schemes for the detection and classification of lung nodules from CT images: A survey,17,2020, content.iospress.com,ray …,https://content.iospress.com/articles/journal-of-x-ray-science-and-technology/xst200660,6,,,,,,,
240,"Ding, M Abde",Multimodal infant brain segmentation by fuzzy-informed deep learning,12,2021, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/9328318/,6,,,,,,,
404,"Shaikh, S Krishnan, RM Thanki",Artificial intelligence in breast cancer early detection and diagnosis,12,2021, Springer,,https://link.springer.com/content/pdf/10.1007/978-3-030-59208-0.pdf,6,,,,,,,
58," Dogan, H Suzuki, E Gunpinar, MS Kim",A generative sampling system for profile designs with shape constraints and user evaluation,24,2019, Elsevier,Aided Design,https://www.sciencedirect.com/science/article/pii/S0010448518303610,6,,,,,,,
114,"D Baso, J de la Cruz Rodriguez…",Solar image denoising with convolutional neural networks,23,2019, aanda.org, Astronomy & …,https://www.aanda.org/articles/aa/abs/2019/09/aa36069-19/aa36069-19.html,6,,,,,,,
246, Choi,Achieving economic sustainability: operations research for risk analysis and optimization problems in the blockchain era,5,2022, Springer, Annals of Operations Research,https://link.springer.com/article/10.1007/s10479-021-04394-5,5,,,,,,,
377,Hernánde,"Random fields in physics, biology and data science",10,2021, frontiersin.org, Frontiers in Physics,https://www.frontiersin.org/articles/10.3389/fphy.2021.641859/full,5,,,,,,,
196,"Da Wang, T Chung, RT Armstrong…",ML-LBM: machine learning aided flow simulation in porous media,16,2020, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2004.11675,5,,,,,,,
188,"Park, J Lee, P Lee, S Hwang…",Fair Contrastive Learning for Facial Attribute Classification,5,2022, openaccess.thecvf.com, Proceedings of the …,https://openaccess.thecvf.com/content/CVPR2022/html/Park_Fair_Contrastive_Learning_for_Facial_Attribute_Classification_CVPR_2022_paper.html,5,,,,,,,
355,Trampusch,Industrial relations and welfare states: the different dynamics of retrenchment in Germany and the Netherlands,90,2006, journals.sagepub.com, Journal of European Social Policy,https://journals.sagepub.com/doi/abs/10.1177/0958928706062502,5,,,,,,,
81,"Naik, DR Edla, V Kuppili",Lung nodule classification on computed tomography images using fractalnet,10,2021, Springer, Wireless Personal Communications,https://link.springer.com/article/10.1007/s11277-021-08258-w,5,,,,,,,
322,"Stachenfeld, DB Fielding, D Kochkov…",Learned Coarse Models for Efficient Turbulence Simulation,10,2021, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2112.15275,5,,,,,,,
250,"Jeffrey, F Boulanger, BD Wandelt…",Single frequency CMB B-mode inference with realistic foregrounds from a single training image,5,2022, academic.oup.com, Monthly Notices of …,https://academic.oup.com/mnrasl/article-abstract/510/1/L1/6424934,5,,,,,,,
252,"Humphreys, A Kupresanin, MD Boyer, J Canik…",Advancing fusion with machine learning research needs workshop report,14,2020, Springer, Journal of Fusion …,https://link.springer.com/article/10.1007/s10894-020-00258-1,5,,,,,,,
153," Feigelson, RS De Souza…",Twenty-first-century statistical and computational challenges in astrophysics,10,2021, annualreviews.org, Annual Review of …,https://www.annualreviews.org/doi/abs/10.1146/annurev-statistics-042720-112045,5,,,,,,,
417,"Peleg, R Loyo",Transforming Deportation Defense: Lessons Learned from the Nation's First Public Defender Program for Detained Immigrants,15,2019, HeinOnline, Cuny L. Rev.,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/nyclr22&section=9,4,,,,,,,
178," Bello, H Chiroma, AY Gital, LA Gabralla…","Machine learning algorithms for improving security on touch screen devices: a survey, challenges and new perspectives",11,2020, Springer, Neural Computing and …,https://link.springer.com/article/10.1007/s00521-020-04775-0,4,,,,,,,
103,"Zhou, R Fu, C Wang",Learning the car-following behavior of drivers using maximum entropy deep inverse reinforcement learning,11,2020, hindawi.com, Journal of advanced transportation,https://www.hindawi.com/journals/jat/2020/4752651/,4,,,,,,,
445, Elvy,A postcolonial theory of spousal rape: the caribbean and beyond,30,2015, HeinOnline, Mich. J. Gender & L.,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/mjgl22&section=6,4,,,,,,,
165,"L Higgins, DF Fouhey, SK Antiochos…",SynthIA: A Synthetic Inversion Approximation for the Stokes Vector Fusing SDO and Hinode into a Virtual Observatory,4,2022, iopscience.iop.org, The Astrophysical …,https://iopscience.iop.org/article/10.3847/1538-4365/ac42d5/meta,4,,,,,,,
54,"Lin, J Wu, X Yang",A data augmentation approach to train fully convolutional networks for left ventricle segmentation,11,2020, Elsevier, Magnetic Resonance Imaging,https://www.sciencedirect.com/science/article/pii/S0730725X19300529,4,,,,,,,
140,"Angulakshmi, M Deepa",A review on deep learning architecture and methods for MRI brain tumour segmentation,8,2021, ingentaconnect.com, Current Medical Imaging,https://www.ingentaconnect.com/content/ben/cmir/2021/00000017/00000006/art00004,4,,,,,,,
2," Sarhan, A Eslami, N Navab…",Learning interpretable disentangled representations using adversarial vaes,15,2019, Springer, Domain Adaptation and …,https://link.springer.com/chapter/10.1007/978-3-030-33391-1_5,4,,,,,,,
53,"Liu, M Zhu, H Fu, H Ma, TS Chua",Enhancing anomaly detection in surveillance videos with transfer learning from action recognition,12,2020, dl.acm.org, Proceedings of the 28th ACM …,https://dl.acm.org/doi/abs/10.1145/3394171.3416298,4,,,,,,,
257,Luo,Inverse reinforcement learning for team sports: Valuing actions and players,11,2020, summit.sfu.ca,,http://summit.sfu.ca/item/20564,4,,,,,,,
275,"Dolz, C Desrosiers, IB Ayed",Teach me to segment with mixed supervision: Confident students become masters,7,2021, Springer, International Conference on Information …,https://link.springer.com/chapter/10.1007/978-3-030-78191-0_40,4,,,,,,,
78,"Gul, MS Khan, A Bibi, A Khandakar, MA Ayari…",Deep learning techniques for liver and liver tumor segmentation: A review,4,2022, Elsevier, Computers in Biology …,https://www.sciencedirect.com/science/article/pii/S0010482522004127,4,,,,,,,
88,"Zhang, S Li, G Ji, X Zhao, J Li, M Pan",Survey on Deep Learning-Based Marine Object Detection,7,2021, hindawi.com, Journal of Advanced …,https://www.hindawi.com/journals/jat/2021/5808206/,4,,,,,,,
87,"Wild, L Sixt, T Landgraf",Automatic localization and decoding of honeybee markers using deep convolutional neural networks,22,2018, arxiv.org, arXiv preprint arXiv:1802.04557,https://arxiv.org/abs/1802.04557,4,,,,,,,
203,"Kim, S Kim, JH Seo",A new scale-invariant homomorphic encryption scheme,16,2018, Elsevier, Information Sciences,https://www.sciencedirect.com/science/article/pii/S0020025517309313,3,,,,,,,
323,"Wu, T Maruyama, J Leskovec",Learning to accelerate partial differential equations via latent global evolution,3,2022, arxiv.org, arXiv preprint arXiv:2206.07681,https://arxiv.org/abs/2206.07681,3,,,,,,,
169,"Shen, T Liu, TM Peters, LH Staib, C Essert, S Zhou…","Medical Image Computing and Computer Assisted Intervention–MICCAI 2019: 22nd International Conference, Shenzhen, China, October 13–17, 2019 …",13,2019, books.google.com,,https://books.google.com/books?hl=en&lr=&id=5EG1DwAAQBAJ&oi=fnd&pg=PR5&dq=(gan+OR+adversarial+OR+(generative+and+adversarial+and+net*))+AND+magnetohydrodynamics&ots=qWWR4p5KUf&sig=x7jFEeBjRoR0rXdC2fdY6SC2IQE,3,,,,,,,
428," Islam, T Iqbal","MuMu: Cooperative multitask learning-based guided multimodal fusion,”",3,2022, aaai.org,,https://www.aaai.org/AAAI22Papers/AAAI-11023.IslamMM.pdf,3,,,,,,,
219,Ninomiya,High-throughput field crop phenotyping: current status and challenges,3,2022, jstage.jst.go.jp, Breeding Science,https://www.jstage.jst.go.jp/article/jsbbs/72/1/72_21069/_article/-char/ja/,3,,,,,,,
321,"Liu, B Wu, H Ma, M Seok",MemNet: memory-efficiency guided neural architecture search with augment-trim learning,11,2019, arxiv.org, arXiv preprint arXiv:1907.09569,https://arxiv.org/abs/1907.09569,3,,,,,,,
148,Demir,DeepBreastNet: A novel and robust approach for automated breast cancer detection from histopathological images,6,2021, Elsevier, Biocybernetics and biomedical engineering,https://www.sciencedirect.com/science/article/pii/S0208521621000917,3,,,,,,,
34,"Fernando, S Denman…",Neighbourhood context embeddings in deep inverse reinforcement learning for predicting pedestrian motion over long time horizons,13,2019, openaccess.thecvf.com, Proceedings of the …,http://openaccess.thecvf.com/content_ICCVW_2019/html/HBU/Fernando_Neighbourhood_Context_Embeddings_in_Deep_Inverse_Reinforcement_Learning_for_Predicting_ICCVW_2019_paper.html,3,,,,,,,
334,Vei,Computational Prediction of Binding Affinity for CDK2-ligand Complexes. A Protein Target for Cancer Drug Discovery,3,2022, ingentaconnect.com, Current Medicinal …,https://www.ingentaconnect.com/content/ben/cmc/2022/00000029/00000014/art00005,3,,,,,,,
3,"Duan, G Yuan, L Gong, T Fu, X Yang, X Chen…",Adversarial learning for deformable registration of brain MR image using a multi-scale fully convolutional network,11,2019, Elsevier, … Signal Processing and …,https://www.sciencedirect.com/science/article/pii/S1746809419301363,3,,,,,,,
158, Peñ,Findings from machine learning in clinical medical imaging applications–Lessons for translation to the forensic setting,9,2020, Elsevier, Forensic Science …,https://www.sciencedirect.com/science/article/pii/S037907382030400X,3,,,,,,,
326,"Liu, B Wu, H Ma, M Seok",Memnas: Memory-efficient neural architecture search with grow-trim learning,8,2020, openaccess.thecvf.com, Proceedings of the IEEE/CVF …,http://openaccess.thecvf.com/content_CVPR_2020/html/Liu_MemNAS_Memory-Efficient_Neural_Architecture_Search_With_Grow-Trim_Learning_CVPR_2020_paper.html,3,,,,,,,
45," Jeong, YJ Moon, E Park, H Lee",Solar coronal magnetic field extrapolation from synchronic data with AI-generated farside,10,2020, iopscience.iop.org, The Astrophysical Journal …,https://iopscience.iop.org/article/10.3847/2041-8213/abc255/meta,3,,,,,,,
16,"Duan, X Ni, Q Liu, L Gong, G Yuan, M Li…",Unsupervised learning for deformable registration of thoracic CT and cone‐beam CT based on multiscale features matching with spatially adaptive weighting,9,2020, Wiley Online Library, Medical …,https://aapm.onlinelibrary.wiley.com/doi/abs/10.1002/mp.14464,3,,,,,,,
390,Buchanan,"Gun violence, disability and recovery",24,2014, books.google.com,,https://books.google.com/books?hl=en&lr=&id=fMPBAgAAQBAJ&oi=fnd&pg=PT198&dq=(gan+OR+adversarial+OR+(generative+and+adversarial+and+net*))+AND+magnetohydrodynamics&ots=Etgc-qN9Ho&sig=dz8VfutTRQZUndDB5diAduQzheE,3,,,,,,,
18,"Mohammadpourfard, F Ghanaatpishe…",Generation of false data injection attacks using conditional generative adversarial networks,9,2020, ieeexplore.ieee.org, 2020 IEEE PES …,https://ieeexplore.ieee.org/abstract/document/9248967/,3,,,,,,,
371,"Buluc, TG Kolda, SM Wild, M Anitescu…",Randomized algorithms for scientific computing (RASC),6,2021, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2104.11079,3,,,,,,,
