Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year,,,,
135,"Hu, Y Fang, C Shi",Adversarial learning on heterogeneous information networks,117,2019, dl.acm.org, … Conference on Knowledge Discovery & Data …,https://dl.acm.org/doi/abs/10.1145/3292500.3330970,29,,,,
551,"Alaa, B Van Breugel, ES Saveliev…",How faithful is your synthetic data? sample-level metrics for evaluating and auditing generative models,29,2022, proceedings.mlr.press, International …,https://proceedings.mlr.press/v162/alaa22a.html,29,,,,
876,"Liang, S Li, C Yan, M Li, C Jiang",Explaining the black-box model: A survey of local interpretation methods for deep neural networks,55,2021, Elsevier, Neurocomputing,https://www.sciencedirect.com/science/article/pii/S0925231220312716,28,,,,
290,"Stadler, B Oprisanu, C Troncoso",Synthetic data–anonymisation groundhog day,28,2022, usenix.org, 31st USENIX Security Symposium …,https://www.usenix.org/conference/usenixsecurity22/presentation/stadler,28,,,,
107,"Abdelwahab, C Busso",Domain adversarial for acoustic emotion recognition,134,2018, ieeexplore.ieee.org, IEEE/ACM Transactions on Audio …,https://ieeexplore.ieee.org/abstract/document/8445653/,27,,,,
121,"Martins, JM Cruz, T Cruz, PH Abreu",Adversarial machine learning applied to intrusion and malware scenarios: a systematic review,82,2020, ieeexplore.ieee.org, IEEE Access,https://ieeexplore.ieee.org/abstract/document/9001114/,27,,,,
451,"Goyal, A Raghunathan, M Jain…",DROCC: Deep robust one-class classification,81,2020, proceedings.mlr.press, International …,https://proceedings.mlr.press/v119/goyal20c.html,27,,,,
248,"Madani, JR Ong, A Tibrewal, MRK Mofrad",Deep echocardiography: data-efficient supervised and semi-supervised deep learning towards automated diagnosis of cardiac disease,135,2018, nature.com, NPJ digital medicine,https://www.nature.com/articles/s41746-018-0065-x?ref=https://githubhelp.com,27,,,,
811,"Brehmer, K Cranmer",Flows for simultaneous manifold learning and density estimation,77,2020, proceedings.neurips.cc, Advances in Neural Information …,https://proceedings.neurips.cc/paper/2020/hash/051928341be67dcba03f0e04104d9047-Abstract.html,26,,,,
1,"Xu, K Veeramachaneni",Synthesizing tabular data using generative adversarial networks,129,2018, arxiv.org, arXiv preprint arXiv:1811.11264,https://arxiv.org/abs/1811.11264,26,,,,
539,"Torfi, EA Fox, CK Reddy",Differentially private synthetic medical data generation using convolutional gans,25,2022, Elsevier, Information Sciences,https://www.sciencedirect.com/science/article/pii/S0020025521012391,25,,,,
86,"Sampath, I Maurtua, JJ Aguilar Martín, A Gutierrez",A survey on generative adversarial networks for imbalance problems in computer vision tasks,49,2021, Springer, Journal of big Data,https://link.springer.com/article/10.1186/s40537-021-00414-0,24,,,,
544,"Oza, VM Patel",One-class convolutional neural network,113,2018, ieeexplore.ieee.org, IEEE Signal Processing Letters,https://ieeexplore.ieee.org/abstract/document/8586962/,23,,,,
460," Baowaly, CC Lin, CL Liu…",Synthesizing electronic health records using improved generative adversarial networks,88,2019, academic.oup.com, Journal of the American …,https://academic.oup.com/jamia/article-abstract/26/3/228/5235390,22,,,,
351,"Chen, H Zhang, D Boning…",Robust decision trees against adversarial examples,88,2019, proceedings.mlr.press, … Conference on Machine …,http://proceedings.mlr.press/v97/chen19m.html?ref=https://githubhelp.com,22,,,,
452,"Goel, R Murugan, S Mirjalili, DK Chakrabartty",Automatic screening of covid-19 using an optimized generative adversarial network,43,2021, Springer, Cognitive computation,https://link.springer.com/article/10.1007/s12559-020-09785-7,22,,,,
707,"Weber, X Xu, B Karlaš, C Zhang, B Li",Rab: Provable robustness against backdoor attacks,62,2020, arxiv.org, arXiv preprint arXiv:2003.08904,https://arxiv.org/abs/2003.08904,21,,,,
89,"Quadrianto, V Sharmanska…",Discovering fair representations in the data domain,85,2019, openaccess.thecvf.com, Proceedings of the …,http://openaccess.thecvf.com/content_CVPR_2019/html/Quadrianto_Discovering_Fair_Representations_in_the_Data_Domain_CVPR_2019_paper.html,21,,,,
957,"Kostrikov, O Nachum, J Tompson",Imitation learning via off-policy distribution matching,82,2019, arxiv.org, arXiv preprint arXiv:1912.05032,https://arxiv.org/abs/1912.05032,20,,,,
927,"Jagielski, G Severi, N Pousette Harger…",Subpopulation data poisoning attacks,39,2021, dl.acm.org, Proceedings of the 2021 …,https://dl.acm.org/doi/abs/10.1145/3460120.3485368,20,,,,
159,"Wang, Y Du, S Lin, P Cui, Y Shen, Y Yang",adVAE: A self-adversarial variational autoencoder with Gaussian anomaly prior knowledge for anomaly detection,60,2020, Elsevier,Based Systems,https://www.sciencedirect.com/science/article/pii/S0950705119305283,20,,,,
563,"Regenwetter, AH Nobari…",Deep generative models in engineering design: A review,20,2022, asmedigitalcollection.asme.org, Journal of …,https://asmedigitalcollection.asme.org/mechanicaldesign/article-abstract/144/7/071704/1136676,20,,,,
261,"Gaj, M Yang, K Nakamura, X Li",Automated cartilage and meniscus segmentation of knee MRI with conditional generative adversarial networks,60,2020, Wiley Online Library, Magnetic resonance in …,https://onlinelibrary.wiley.com/doi/abs/10.1002/mrm.28111,20,,,,
773," Kenny, MT Keane",On generating plausible counterfactual and semi-factual explanations for deep learning,38,2021, ojs.aaai.org, Proceedings of the AAAI Conference on …,https://ojs.aaai.org/index.php/AAAI/article/view/17377,19,,,,
505,"Fernandes, S Raj, E Ortiz, I Vintila…",Predicting heart rate variations of deepfake videos using neural ode,71,2019, openaccess.thecvf.com, Proceedings of the …,http://openaccess.thecvf.com/content_ICCVW_2019/html/CVPM/Fernandes_Predicting_Heart_Rate_Variations_of_Deepfake_Videos_using_Neural_ODE_ICCVW_2019_paper.html,18,,,,
348,"Tang, B Fan, L Xiao, S Tian, F Zhang, L Zhang…",A new ensemble machine-learning framework for searching sweet spots in shale reservoirs,36,2021, onepetro.org, SPE Journal,https://onepetro.org/SJ/article-abstract/26/01/482/453863,18,,,,
877,"Spinelli, S Scardapane, A Uncini",Missing data imputation with adversarially-trained graph convolutional networks,54,2020, Elsevier, Neural Networks,https://www.sciencedirect.com/science/article/pii/S0893608020302185,18,,,,
402,"Izmailov, P Kirichenko, M Finzi…",Semi-supervised learning with normalizing flows,55,2020, proceedings.mlr.press, … on Machine Learning,http://proceedings.mlr.press/v119/izmailov20a.html,18,,,,
597,"Yi, Z Wang, K Jiang, J Jiang, T Lu…",A progressive fusion generative adversarial network for realistic and consistent video super-resolution,50,2020, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/9279273/,17,,,,
208,"Zhang, BS Riggan, S Hu, NJ Short…",Synthesis of high-quality visible faces from polarimetric thermal faces using generative adversarial networks,69,2019, Springer, International Journal of …,https://link.springer.com/article/10.1007/s11263-019-01175-3,17,,,,
298,"Chernikova, A Oprea",Fence: Feasible evasion attacks on neural networks in constrained environments,17,2022, dl.acm.org, ACM Transactions on Privacy and Security,https://dl.acm.org/doi/abs/10.1145/3544746,17,,,,
592,"Jati, CC Hsu, M Pal, R Peri, W AbdAlmageed…",Adversarial attack and defense strategies for deep speaker recognition systems,32,2021, Elsevier, Computer Speech & …,https://www.sciencedirect.com/science/article/pii/S0885230821000061,16,,,,
814,"Gao, W Shao, MS Rahaman, J Zhai, K David…",Transfer learning for thermal comfort prediction in multiple cities,33,2021, Elsevier, Building and …,https://www.sciencedirect.com/science/article/pii/S0360132321001359,16,,,,
806,"Zhang, T Wang, J Honorio, N Li, M Backes, S He…",Privsyn: Differentially private data synthesis,33,2021, usenix.org,,https://www.usenix.org/system/files/sec21fall-zhang-zhikun.pdf,16,,,,
767,"Liu, M Malekzadeh, N Mirian, TA Song, C Liu…",Artificial intelligence-based image enhancement in pet imaging: Noise reduction and resolution enhancement,32,2021, pet.theclinics.com, PET clinics,https://www.pet.theclinics.com/article/S1556-8598(21)00044-4/abstract,16,,,,
362," Assefa, D Dervovic, M Mahfouz, RE Tillman…","Generating synthetic data in finance: opportunities, challenges and pitfalls",45,2020, dl.acm.org, Proceedings of the First …,https://dl.acm.org/doi/abs/10.1145/3383455.3422554,15,,,,
550,"Xu, S Keshmiri, G Wang",Adversarially approximated autoencoder for image generation and manipulation,61,2019, ieeexplore.ieee.org, IEEE Transactions on Multimedia,https://ieeexplore.ieee.org/abstract/document/8638964/,15,,,,
708," Abawajy, MIH Ninggal…",Privacy preserving social network data publication,107,2016, ieeexplore.ieee.org, … communications surveys & …,https://ieeexplore.ieee.org/abstract/document/7428813/,15,,,,
638,"Wong, JZ Kolter",Learning perturbation sets for robust machine learning,46,2020, arxiv.org, arXiv preprint arXiv:2007.08450,https://arxiv.org/abs/2007.08450,15,,,,
311,"Kadra, M Lindauer, F Hutter, J Grabocka",Regularization is all you need: Simple neural nets can excel on tabular data,30,2021, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2106.11189,15,,,,
28,"Zhao, A Kunar, R Birke…",Ctab-gan: Effective table data synthesizing,30,2021, proceedings.mlr.press, Asian Conference on …,https://proceedings.mlr.press/v157/zhao21a,15,,,,
804,"Pal, Y Gupta, A Shukla, A Kanade…",Activethief: Model extraction using active learning and unannotated public data,43,2020, ojs.aaai.org, Proceedings of the …,https://ojs.aaai.org/index.php/AAAI/article/view/5432,14,,,,
278,"Li, R Cui, B Li, R Song, Y Li, Y Dai…",Hyperspectral image super-resolution by band attention through adversarial learning,43,2020, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/8960413/,14,,,,
677,"Slack, A Hilgard, H Lakkaraju…",Counterfactual explanations can be manipulated,27,2021, proceedings.neurips.cc, Advances in Neural …,https://proceedings.neurips.cc/paper/2021/hash/009c434cab57de48a31f6b669e7ba266-Abstract.html,14,,,,
394,"Kadra, M Lindauer, F Hutter…",Well-tuned simple nets excel on tabular datasets,29,2021, proceedings.neurips.cc, Advances in neural …,https://proceedings.neurips.cc/paper/2021/hash/c902b497eb972281fb5b4e206db38ee6-Abstract.html,14,,,,
433,"Hsu, WK Epting, H Kim, HW Abernathy, GA Hackett…","Microstructure generation via generative adversarial network for heterogeneous, topologically complex 3d materials",28,2021, Springer, JOM,https://link.springer.com/article/10.1007/s11837-020-04484-y,14,,,,
689,"Bahrami, A Karimian, H Arabi",Comparison of different deep learning architectures for synthetic CT generation from MR images,26,2021, Elsevier, Physica Medica,https://www.sciencedirect.com/science/article/pii/S1120179721003057,13,,,,
459,"Jiang, W Xie, Y Li, J Lei, G He…",Semisupervised spectral learning with generative adversarial network for hyperspectral anomaly detection,38,2020, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/9013035/,13,,,,
679,"Wang, S Cao, D Wei, R Wang, K Ma…",LT-Net: Label transfer by learning reversible voxel-wise correspondence for one-shot medical image segmentation,39,2020, openaccess.thecvf.com, Proceedings of the …,http://openaccess.thecvf.com/content_CVPR_2020/html/Wang_LT-Net_Label_Transfer_by_Learning_Reversible_Voxel-Wise_Correspondence_for_One-Shot_CVPR_2020_paper.html,13,,,,
471,"Lockhart, M Lanctot, J Pérolat, JB Lespiau…",Computing approximate equilibria in sequential adversarial games by exploitability descent,53,2019, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/1903.05614,13,,,,
305,Orti,Optimism in the face of adversity: Understanding and improving deep learning through adversarial robustness,26,2021, ieeexplore.ieee.org, Proceedings of the …,https://ieeexplore.ieee.org/abstract/document/9348948/,13,,,,
227,"Navidan, PF Moshiri, M Nabati, R Shahbazian…",Generative Adversarial Networks (GANs) in networking: A comprehensive survey & evaluation,25,2021, Elsevier, Computer Networks,https://www.sciencedirect.com/science/article/pii/S1389128621002139,12,,,,
926,"Sinha, AB Dieng",Consistency regularization for variational auto-encoders,23,2021, proceedings.neurips.cc, Advances in Neural Information …,https://proceedings.neurips.cc/paper/2021/hash/6c19e0a6da12dc02239312f151072ddd-Abstract.html,12,,,,
161,"Huang, Q Li, Y Tai, Z Chen, J Liu, J Shi, W Liu",Time series forecasting for hourly photovoltaic power using conditional generative adversarial network and Bi-LSTM,12,2022, Elsevier, Energy,https://www.sciencedirect.com/science/article/pii/S0360544222003061,12,,,,
313,Freiesleben,The intriguing relation between counterfactual explanations and adversarial examples,12,2022, Springer, Minds and Machines,https://link.springer.com/article/10.1007/s11023-021-09580-9,12,,,,
567," Quiroz, YZ Feng, ZY Cheng…",Development and validation of a machine learning approach for automated severity assessment of COVID-19 based on clinical and imaging data …,25,2021, medinform.jmir.org, JMIR Medical …,https://medinform.jmir.org/2021/2/e24572,12,,,,
692,"Rastogi, M Hay, G Miklau, D Suciu",Relationship privacy: output perturbation for queries with joins,174,2009, dl.acm.org,eighth …,https://dl.acm.org/doi/abs/10.1145/1559795.1559812,12,,,,
583," Hashmi, M Liwicki, D Stricker, MA Afzal…",Current status and performance analysis of table recognition in document images with deep neural networks,23,2021, ieeexplore.ieee.org, IEEE …,https://ieeexplore.ieee.org/abstract/document/9449902/,12,,,,
586,"Yale, S Dash, R Dutta, I Guyon, A Pavao, KP Bennett",Generation and evaluation of privacy preserving synthetic health data,35,2020, Elsevier, Neurocomputing,https://www.sciencedirect.com/science/article/pii/S0925231220305117,12,,,,
64,"Xiao, YH Tsai, K Sohn, M Chandraker…",Adversarial learning of privacy-preserving and task-oriented representations,37,2020, ojs.aaai.org, Proceedings of the AAAI …,https://ojs.aaai.org/index.php/AAAI/article/view/6930,12,,,,
187,"Nandhini Abirami, PM Durai Raj Vincent…",Deep CNN and deep GAN in computational visual perception-driven image analysis,23,2021, hindawi.com, Complexity,https://www.hindawi.com/journals/complexity/2021/5541134/,12,,,,
893,"Neupane, J Seok",A review on deep learning-based approaches for automatic sonar target recognition,36,2020, mdpi.com, Electronics,https://www.mdpi.com/898344,12,,,,
524,"Qiu, T Pfrommer, M Kloft, S Mandt…",Neural transformation learning for deep anomaly detection beyond images,24,2021, proceedings.mlr.press, … on Machine Learning,https://proceedings.mlr.press/v139/qiu21a.html,12,,,,
416,"Olut, YH Sahin, U Demir, G Unal",Generative adversarial training for MRA image synthesis using multi-contrast MRI,62,2018, Springer, International workshop on predictive …,https://link.springer.com/chapter/10.1007/978-3-030-00320-3_18,12,,,,
197,"Kaur, N Pham, S Fomel",Seismic data interpolation using deep learning with generative adversarial networks,23,2021, earthdoc.org, Geophysical Prospecting,https://www.earthdoc.org/content/journals/10.1111/1365-2478.13055,12,,,,
770,"Wang, K Jiang, P Yi, Z Han, Z He",Ultra-dense GAN for satellite imagery super-resolution,37,2020, Elsevier, Neurocomputing,https://www.sciencedirect.com/science/article/pii/S0925231219314602,12,,,,
192,"Padhi, Y Schiff, I Melnyk, M Rigotti…",Tabular transformers for modeling multivariate time series,23,2021, ieeexplore.ieee.org,2021 …,https://ieeexplore.ieee.org/abstract/document/9414142/,12,,,,
718,"Duan, C Fu, Y Li, X Song…",Cross-spectral face hallucination via disentangling independent factors,35,2020, openaccess.thecvf.com, Proceedings of the IEEE …,http://openaccess.thecvf.com/content_CVPR_2020/html/Duan_Cross-Spectral_Face_Hallucination_via_Disentangling_Independent_Factors_CVPR_2020_paper.html,12,,,,
96,"Wu, A Zhang, I Ilyas…",Attention-based learning for missing data imputation in HoloClean,36,2020, proceedings.mlsys.org, Proceedings of Machine …,https://proceedings.mlsys.org/papers/2020/123,12,,,,
938,"Pfitzner, N Steckhan, B Arnrich",Federated learning in a medical context: a systematic literature review,24,2021, dl.acm.org, ACM Transactions on Internet …,https://dl.acm.org/doi/abs/10.1145/3412357,12,,,,
841,"Gordon, JM Hernánde",Combining deep generative and discriminative models for Bayesian semi-supervised learning,32,2020, Elsevier, Pattern Recognition,https://www.sciencedirect.com/science/article/pii/S003132031930456X,11,,,,
